kind,geom_type,parameters_def,desc
淨水場,點圖資,"日出水量
水質概況",淨水場點位與資訊
取水口,點圖資,日取水量,取水口點位與資訊
集水區,面圖資,面積,河道集水區，點位集水區
流路,線圖資,"水種類
水質概況",河川級距，一滴水入海
生活區域,面圖資,"面積
人口",里，鄉鎮
工業污水處理廠,線圖資,污水處理量,工業污水處理廠點位與資訊
工廠,線圖資,水權,工廠點位與資訊
工業區域,面圖資,面積,工業區範圍與資訊
生活污水處理廠,點圖資,污水處理量,生活污水處理廠點位與資訊
生活污染源,點圖資,,垃圾場，群眾標記垃圾
農業區域,面圖資,,農業區域（鄉鎮）
流域,面圖資,,主流域
污染點,點圖資,,農地工廠
鄰近污染源,點圖資,,kind 型錄：污染點，生活污染源，生活污水處理廠，工業污水處理廠
